FID,Title,Keywords,Path
0072,汤姆索亚历险记读后感600字.txt,汤姆，波特，哈克，刷墙，机智，印第安，一刷，来换，老头，聪明,D:\Fuzzy Keywords Search\样本文件集\汤姆索亚历险记读后感600字.txt
0073,洋葱头历险记读后感.txt,洋葱头，柠檬，救出，监狱，滑轮，练习，坚持，坚持到底，历险记，遇到困难,D:\Fuzzy Keywords Search\样本文件集\洋葱头历险记读后感.txt
0074,洋葱头历险记读后感400字.txt,洋葱头，勇敢，鼹鼠，瘸腿，柠檬，囚犯，蜘蛛，樱桃，救出，聪明,D:\Fuzzy Keywords Search\样本文件集\洋葱头历险记读后感400字.txt
0075,洋葱头历险记读后感600字.txt,柠檬，洋葱头，洋葱，田鼠，青豆，雷诺阿，律师，绞刑，牢房，哪有,D:\Fuzzy Keywords Search\样本文件集\洋葱头历险记读后感600字.txt
0076,海底捞你学不会主要内容简介.txt,海底，员工，顾客，善待，不可思议，每个，放权，老板，有没有，服务行业,D:\Fuzzy Keywords Search\样本文件集\海底捞你学不会主要内容简介.txt
0077,爱的教育读书心得800字.txt,恩里科，老师，学生，女老师，爱国，故事，祖国，怎样，教育，哨兵,D:\Fuzzy Keywords Search\样本文件集\爱的教育读书心得800字.txt
0078,父与子读后感.txt,儿子，父亲，父与子，父爱，本书，沙滩，石子儿，读书，石子，伟大,D:\Fuzzy Keywords Search\样本文件集\父与子读后感.txt
0079,牧羊少年奇幻之旅读后感1000字.txt,梦想，圣地亚哥，追寻，选择，矿人，自己，书中，失败，初心，害怕,D:\Fuzzy Keywords Search\样本文件集\牧羊少年奇幻之旅读后感1000字.txt
0080,狂人日记赏析.txt,鲁迅，礼教，先生，狂人日记，封建，思想，小说，人性，他们，文学革命,D:\Fuzzy Keywords Search\样本文件集\狂人日记赏析.txt
0081,理想课堂的三重境界读后感.txt,教学，课堂，理想，教研，有效，目标，文本，框架，学生，预习,D:\Fuzzy Keywords Search\样本文件集\理想课堂的三重境界读后感.txt
0082,生命的品质读后感.txt,不幸，生命，快乐，灵魂，周国平，承受，心灵，内在，朋友，自己,D:\Fuzzy Keywords Search\样本文件集\生命的品质读后感.txt
0083,电影雷锋观后感.txt,雷锋，同志，那位，忠于党，活雷锋，吴菊萍，好榜样，吴斌，记得，林场,D:\Fuzzy Keywords Search\样本文件集\电影雷锋观后感.txt
0084,百年孤独读后感800字.txt,孤独，百年孤独，本书，家族，里亚诺，阿尔卡，蒂奥，奥雷，为伴，与其,D:\Fuzzy Keywords Search\样本文件集\百年孤独读后感800字.txt
0085,皇帝的新装续写800字.txt,皇帝，骗子，愚笨，我要，大臣，他们，臣民，新装，两个，满朝,D:\Fuzzy Keywords Search\样本文件集\皇帝的新装续写800字.txt
0086,离魂记读后感.txt,倩娘，故事，王宙，离魂记，杜丽娘，魂魄，真的，所以，肉身，无论,D:\Fuzzy Keywords Search\样本文件集\离魂记读后感.txt
0087,秋天的童话读后感.txt,十三，船头，相遇，沙滩，感情，table，two，samban，异国他乡，时候,D:\Fuzzy Keywords Search\样本文件集\秋天的童话读后感.txt
0088,红与黑读后感1000字.txt,野心，自己，飞黄腾达，夫人，侯爵，富有，拉莫尔，市长，德瑞纳，渴望,D:\Fuzzy Keywords Search\样本文件集\红与黑读后感1000字.txt
0089,红星照耀中国读后感1000字.txt,毛泽东，斯诺，共产党，红区，国民党，红军，敢于，一本，眼光，宣传,D:\Fuzzy Keywords Search\样本文件集\红星照耀中国读后感1000字.txt
0090,给教师的一百条建议读后感1000字.txt,后进生，学生，苏霍姆，转化，林斯基，老师，教师，感到，落伍，鼓励,D:\Fuzzy Keywords Search\样本文件集\给教师的一百条建议读后感1000字.txt
0091,给教师的建议读后感.txt,学生，课堂，教师，苏霍姆，备课，这门，林斯基，学科，兴趣，一堂课,D:\Fuzzy Keywords Search\样本文件集\给教师的建议读后感.txt
0092,罗生门读后感.txt,罗生门，老太，家丁，破落，强盗，作恶，人性，饿死，娑婆，世间,D:\Fuzzy Keywords Search\样本文件集\罗生门读后感.txt
0093,罗素西方哲学史读后感.txt,尤斯环，莫比，哲学，定义，悖论，哲学史，亚里士多德，一个，芝诺，复仇者,D:\Fuzzy Keywords Search\样本文件集\罗素西方哲学史读后感.txt
0094,老人与海鸥读后感200字.txt,初心，老人与海，自己，咬紧牙根，钱存，人有，当有，无忘，张紫怡，意志力,D:\Fuzzy Keywords Search\样本文件集\老人与海鸥读后感200字.txt
0095,自卑与超越读后感1000字.txt,自卑，我们，情结，气场，自己，其实，经历，想要，学会，能力,D:\Fuzzy Keywords Search\样本文件集\自卑与超越读后感1000字.txt
0096,苦儿流浪记读后感1000字.txt,雷米，维达，小雷米，米里，作者，流浪，关怀，故事，生涯，卡罗,D:\Fuzzy Keywords Search\样本文件集\苦儿流浪记读后感1000字.txt
0097,茶馆读后感2000字.txt,茶馆，王利发，秦仲义，人物，王麻子，老舍，小人物，顺子，时代，社会,D:\Fuzzy Keywords Search\样本文件集\茶馆读后感2000字.txt
0098,草船借箭的主要内容.txt,诸葛亮，支箭，二十条，草船借箭，周瑜，鲁肃，三天，曹操，十万多，十万,D:\Fuzzy Keywords Search\样本文件集\草船借箭的主要内容.txt
0099,草船借箭缩写150字.txt,诸葛亮，鲁肃，周瑜，军士，遮起来，曹操，自叹不如，答应，二十条，能造,D:\Fuzzy Keywords Search\样本文件集\草船借箭缩写150字.txt
0100,蓝色的海豚岛读后感.txt,卡拉，托克，海豚，阿留申，病毒，战胜，敌人，仇恨，朋友，海獭,D:\Fuzzy Keywords Search\样本文件集\蓝色的海豚岛读后感.txt
0101,论中国读后感.txt,中国，基辛格，美国，西方，国家，克劳，文化，主义，细节，几代,D:\Fuzzy Keywords Search\样本文件集\论中国读后感.txt
0102,读《傅雷家书》有感1000字.txt,傅雷，儿子，家书，坚强，艺术，不怕，傅聪，孤独，泰然处之，巨伞,D:\Fuzzy Keywords Search\样本文件集\读《傅雷家书》有感1000字.txt
0103,读《傅雷家书》有感500字.txt,傅雷，狂风暴雨，家书，这枝，字里行间，文革，弯腰，儿子，人格，坚守,D:\Fuzzy Keywords Search\样本文件集\读《傅雷家书》有感500字.txt
0104,读《汤姆索亚历险记》有感.txt,汤姆，索亚，沙子，磨练，乔埃，历险记，生活，经历，山洞，勇敢,D:\Fuzzy Keywords Search\样本文件集\读《汤姆索亚历险记》有感.txt
0105,读《繁星春水》有感.txt,本书，作者，繁星，母爱，伟大，冰心，春水，精神，自然，告诉,D:\Fuzzy Keywords Search\样本文件集\读《繁星春水》有感.txt
0106,读《给教师的一百条建议》有感.txt,后进生，教师，学生，他们，苏霍姆，这些，林斯基，死记硬背，露珠，孩子,D:\Fuzzy Keywords Search\样本文件集\读《给教师的一百条建议》有感.txt
0107,读威尼斯商人有感.txt,安东尼奥，尼奥，巴萨，友情，夏洛克，威尼斯，借钱，金钱，衡量，货船,D:\Fuzzy Keywords Search\样本文件集\读威尼斯商人有感.txt
0108,读我们仨有感1000字.txt,父母，先生，孩子，看书，我们仨，兴趣爱好，朋友，子女，溥仪，人母,D:\Fuzzy Keywords Search\样本文件集\读我们仨有感1000字.txt
0109,读月亮与六便士有感500字.txt,画画，不在乎，六便士，活着，斯特里，克兰，别人，不是，只是，觉着,D:\Fuzzy Keywords Search\样本文件集\读月亮与六便士有感500字.txt
0110,读狼王梦有感1000字.txt,紫岚，蓝魂儿，黑桑，黑仔，双毛，媚媚，狼群，知恩图报，母狼，母爱,D:\Fuzzy Keywords Search\样本文件集\读狼王梦有感1000字.txt
0111,读班主任工作漫谈有感.txt,老师，学生，魏书生，班主任，检讨书，照片，本书，说明书，漫谈，犯错误,D:\Fuzzy Keywords Search\样本文件集\读班主任工作漫谈有感.txt
0112,读红楼梦有感600字.txt,荣国府，红楼梦，红楼，真实写照，纯洁，大厦，贾母，以小见大，爱情，荒唐言,D:\Fuzzy Keywords Search\样本文件集\读红楼梦有感600字.txt
0113,读绿野仙踪有感300字.txt,多萝茜，胆小，绿野仙踪，铁皮，图书馆，本书，它们，一起，回家，遇到,D:\Fuzzy Keywords Search\样本文件集\读绿野仙踪有感300字.txt
0114,读老人与海有感.txt,渔夫，圣地亚哥，我们，老人与海，精神，胜利，疫情，林鱼，捕到，脊骨,D:\Fuzzy Keywords Search\样本文件集\读老人与海有感.txt
0115,读解忧杂货店有感500字.txt,杂货店，男友，解忧，选择，奥运会，东野，浪矢，穿越时空，人生，悬疑,D:\Fuzzy Keywords Search\样本文件集\读解忧杂货店有感500字.txt
0116,道德经读后感2000字.txt,净心，静心，尽心，道德经，本职工作，守静，老子，道教，自己，宠辱若惊,D:\Fuzzy Keywords Search\样本文件集\道德经读后感2000字.txt
0117,钝感力读后感.txt,感力，置信区间，渡边淳，自律，精度，解释，神经，敏感，一些，这种,D:\Fuzzy Keywords Search\样本文件集\钝感力读后感.txt
0118,长安十二时辰观后感.txt,张小敬，场域，崔器，靖安，纠缠，剧中，执念，长安，积德，李必,D:\Fuzzy Keywords Search\样本文件集\长安十二时辰观后感.txt
0119,雪国读后感800字.txt,驹子，岛村，叶子，雪国，行男，艺妓，内心，寂寞，给行，女孩,D:\Fuzzy Keywords Search\样本文件集\雪国读后感800字.txt
0120,霍乱时期的爱情读书笔记1000字.txt,弗洛伦蒂，费尔明娜，爱情，马尔克斯，一直，读者，下船，没有，世俗，阿里,D:\Fuzzy Keywords Search\样本文件集\霍乱时期的爱情读书笔记1000字.txt
0121,面纱读后感2000字.txt,凯蒂，瓦尔特，湄潭，自己，修道院，修女，霍乱，后来，爸爸，汤森,D:\Fuzzy Keywords Search\样本文件集\面纱读后感2000字.txt
0122,马克思靠谱读后感800字.txt,自然，我们，变化，思考，不停，面对，无法，自己，精神，思想,D:\Fuzzy Keywords Search\样本文件集\马克思靠谱读后感800字.txt
0123,骆驼祥子读书笔记200字.txt,社会，现实，理想，未能，争名夺利，志存高远，莘莘学子，地说，人要，中像祥子,D:\Fuzzy Keywords Search\样本文件集\骆驼祥子读书笔记200字.txt
